loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,st_sp,st_spstr,st_glon,st_glat,st_elon,st_elat
946,K2-195,K2-195 b,Transit,2,15.852975,0.1208,,,,0.27899999999999997,,13h19m19.56s,199.831512,-08d30m34.1s,-8.50948,317.83,12.497,5713.0,0.94,0.99,,3.13,2018,,,314.639121,53.72715600000001,201.51195900000002,-0.13179100000000002
947,K2-195,K2-195 c,Transit,2,28.482786,,,88.537,,0.23,,13h19m19.56s,199.831512,-08d30m34.1s,-8.50948,317.83,12.497,5713.0,0.94,0.99,,2.576,2018,,,314.639121,53.72715600000001,201.51195900000002,-0.13179100000000002
948,K2-196,K2-196 b,Transit,1,48.324222,,,88.274,,0.321,,13h21m49.52s,200.456345,-08d28m18.2s,-8.471721,594.09,12.06,6045.0,1.16,1.54,,3.6,2018,,,315.675699,53.646464,202.071133,0.134019
949,K2-197,K2-197 b,Transit,1,8.357880999999999,0.0806,,,,0.228,,13h29m34.48s,202.393661,-07d22m26.4s,-7.374002000000001,249.59,12.157,5667.0,1.0,0.93,,2.56,2018,,,319.274675,54.283188,203.447223,1.8642919999999998
950,K2-198,K2-198 b,Transit,1,17.043179000000002,,,89.397,,0.3670000000000001,,13h15m22.51s,198.84381100000002,-06d27m53.6s,-6.464886,110.91,10.970999999999998,5262.0,0.84,0.78,,4.119,2018,,,313.583113,55.911045,199.836714,1.395726
951,K2-199,K2-199 b,Transit,2,3.2253380000000003,0.0385,,,,0.16699999999999998,,13h55m36.41s,208.901703,-06d08m10.1s,-6.136143,107.97,12.289000000000001,4648.0,0.73,0.68,,1.87,2018,,,330.297551,53.291742000000006,209.046077,5.340635
952,K2-199,K2-199 c,Transit,2,7.374694,0.0668,,,,0.248,,13h55m36.41s,208.901703,-06d08m10.1s,-6.136143,107.97,12.289000000000001,4648.0,0.73,0.68,,2.78,2018,,,330.297551,53.291742000000006,209.046077,5.340635
953,K2-200,K2-200 b,Transit,1,2.849883,,,87.96799999999998,,0.122,,13h29m00.38s,202.251602,-04d36m36.8s,-4.610228,185.09,12.459000000000001,5233.0,0.86,0.79,,1.364,2018,,,320.303758,56.989009,202.29551899999998,4.38146
954,K2-201,K2-201 b,Transit,2,1.05979,,,84.414,,0.125,,19h34m14.58s,293.56073,-23d07m51.7s,-23.131035,199.05,12.809000000000001,5507.0,0.96,0.88,,1.4,2018,,,16.193661,-19.335548,291.57401400000003,-1.439084
955,K2-201,K2-201 c,Transit,2,22.779878,,,89.272,,0.293,,19h34m14.58s,293.56073,-23d07m51.7s,-23.131035,199.05,12.809000000000001,5507.0,0.96,0.88,,3.286,2018,,,16.193661,-19.335548,291.57401400000003,-1.439084
956,K2-202,K2-202 b,Transit,1,3.405164,,,87.67200000000004,,0.205,,18h53m03.43s,283.264282,-22d24m25.3s,-22.407034,302.99,13.297,5491.0,0.97,0.91,,2.302,2018,,,12.943428,-10.347937,282.247031,0.47009700000000004
957,K2-203,K2-203 b,Transit,1,9.695101,,,88.43,,0.122,,00h51m05.70s,12.773741000000001,-01d11m45.2s,-1.195891,166.93,12.353,5000.0,0.79,0.76,,1.371,2018,,,122.735901,-64.067509,11.281845,-6.1469309999999995
958,K2-204,K2-204 b,Transit,1,7.055784,,,87.649,,0.272,,01h09m31.81s,17.382523000000006,-00d31m03.4s,-0.51762,586.87,13.01,5755.0,1.01,1.18,,3.0460000000000003,2018,,,132.947604,-63.037004,15.8253,-7.303172999999999
959,K2-205,K2-205 b,Transit,1,26.672263,,,89.09700000000002,,0.17800000000000002,,01h00m52.20s,15.217487,+00d25m33.6s,0.425996,409.95,12.390999999999998,5890.0,0.95,1.08,,1.996,2018,,,128.01862,-62.352557,14.178523,-5.60016
960,K2-206,K2-206 b,Transit,1,18.294549,,,89.11200000000002,,0.249,,00h45m01.52s,11.256313,+00d35m35.7s,0.5932569999999999,246.14,13.1,5043.0,0.79,0.76,,2.795,2018,,,119.488998,-62.235611,10.581086,-3.907254
961,K2-207,K2-207 b,Transit,1,12.48749,,,88.62,,0.23199999999999998,,00h46m47.93s,11.699703999999999,+00d38m26.9s,0.640796,366.84,13.165999999999999,5522.0,0.94,0.93,,2.6060000000000003,2018,,,120.44403,-62.208537,11.008804,-4.0367440000000006
962,K2-208,K2-208 b,Transit,1,4.1909480000000014,,,88.04299999999998,,0.15,,01h23m06.98s,20.779097,+00d53m21.0s,0.889177,258.76,12.503,5582.0,0.93,0.86,,1.679,2018,,,139.421956,-60.964283,19.531575,-7.288347
963,K2-209,K2-209 b,Transit,1,2.0806150000000003,,,86.23100000000002,,0.077,,00h58m45.76s,14.690681,+01d23m01.7s,1.383812,76.67,11.205,4720.0,0.74,0.71,,0.8690000000000001,2018,,,126.762539,-61.43344,14.06165,-4.513281
964,K2-21,K2-21 b,Transit,2,9.325038,0.076,0.1,88.98,,0.16399999999999998,,22h41m12.88s,340.30368,-14d29m20.4s,-14.488987,83.85,12.85,4222.06,0.68,0.65,,1.84,2015,6.0,M0.0,48.936385,-57.17905699999999,336.364946,-5.724631
965,K2-21,K2-21 c,Transit,2,15.501920000000002,0.107,0.21,88.85,,0.222,,22h41m12.88s,340.30368,-14d29m20.4s,-14.488987,83.85,12.85,4222.06,0.68,0.65,,2.49,2015,6.0,M0.0,48.936385,-57.17905699999999,336.364946,-5.724631
966,K2-210,K2-210 b,Transit,1,0.570233,,,84.105,,0.073,,01h10m33.82s,17.640936,+01d34m41.8s,1.578266,177.39,11.535,5396.0,0.91,0.85,,0.8190000000000001,2018,,,132.805301,-60.926303,16.870706,-5.4646300000000005
967,K2-211,K2-211 b,Transit,1,0.669558,,,81.569,,0.12300000000000001,,01h24m25.43s,21.105953,+01d42m17.8s,1.704954,274.39,13.075,5221.0,0.88,0.82,,1.375,2018,,,139.642584,-60.09222,20.14445,-6.654160000000001
968,K2-212,K2-212 b,Transit,1,9.79551,0.0785,,,,0.225,,01h13m41.62s,18.423407,+03d05m49.0s,3.096936,109.32,13.1,4272.0,0.67,0.65,,2.52,2018,,,133.8637,-59.301605,18.175326000000002,-4.356453
969,K2-213,K2-213 b,Transit,1,8.13087,,,87.86200000000002,,0.135,,00h52m33.67s,13.140305,+03d30m27.7s,3.507705,394.05,11.802999999999999,5794.0,1.07,1.2,,1.514,2018,,,123.481963,-59.362835,13.453664999999999,-1.95564
970,K2-214,K2-214 b,Transit,1,8.596802,0.0834,,,,0.217,,00h59m30.26s,14.876076999999999,+04d13m40.1s,4.227798,303.28,11.805,5854.0,1.05,1.27,,2.43,2018,,,126.792248,-58.583466,15.330305,-1.9601549999999999
971,K2-215,K2-215 b,Transit,1,8.269648,,,88.984,,0.18899999999999997,,01h13m52.82s,18.470087,+06d07m26.0s,6.1239019999999975,408.67,12.985999999999999,5704.0,1.0,0.97,,2.124,2018,,,133.024274,-56.30743100000001,19.363943,-1.5715059999999998
972,K2-216,K2-216 b,Transit,1,2.1748,0.028,0.0,86.9,0.025169999999999998,0.156,8.2,00h45m55.26s,11.480249,+06d20m49.1s,6.346971,115.94,12.475999999999999,4503.0,0.7,0.72,8.0,1.75,2018,5.5,K5 V,120.447931,-56.49815200000001,13.033432000000001,1.303159
973,K2-217,K2-217 b,Transit,1,14.074523999999998,,,88.04299999999998,,0.319,,00h45m11.61s,11.298392,+06d28m53.6s,6.481562,386.01,12.187000000000001,5967.0,1.1,1.33,,3.5789999999999997,2018,,,120.131458,-56.356214,12.919493,1.49758
974,K2-218,K2-218 b,Transit,1,8.679885,,,88.45299999999996,,0.22899999999999998,,00h51m14.32s,12.809659,+06d50m47.3s,6.84646,398.41,12.876,5757.0,1.05,1.01,,2.569,2018,,,122.84341,-56.025239,14.444675,1.24965
975,K2-219,K2-219 b,Transit,3,3.901287,,,86.795,,0.12,,00h51m22.87s,12.845309,+08d52m03.5s,8.86764,328.42,12.09,5753.0,1.02,1.19,,1.348,2018,,,122.908111,-54.004087,15.262357999999999,3.0986580000000004
976,K2-219,K2-219 c,Transit,3,6.667669999999998,,,87.26899999999998,,0.128,,00h51m22.87s,12.845309,+08d52m03.5s,8.86764,328.42,12.09,5753.0,1.02,1.19,,1.4380000000000002,2018,,,122.908111,-54.004087,15.262357999999999,3.0986580000000004
977,K2-219,K2-219 d,Transit,3,11.137278,,,88.287,,0.23,,00h51m22.87s,12.845309,+08d52m03.5s,8.86764,328.42,12.09,5753.0,1.02,1.19,,2.576,2018,,,122.908111,-54.004087,15.262357999999999,3.0986580000000004
978,K2-22,K2-22 b,Transit,1,0.381078,0.0088,,,1.4,0.223,,11h17m55.88s,169.482819,+02d37m08.7s,2.6190700000000002,245.53,15.597000000000001,3830.0,0.6,0.57,444.962,2.5,2015,6.0,M0 V,256.532062,56.81606,169.306395,-1.753856
979,K2-220,K2-220 b,Transit,1,13.683256,0.1104,,,,0.213,,00h51m04.77s,12.769862,+09d31m00.5s,9.516805999999999,234.92,11.89,5660.0,0.96,1.02,,2.39,2018,,,122.78385,-53.35481899999999,15.446307000000001,3.7257519999999995
980,K2-221,K2-221 b,Transit,1,2.399094,,,85.447,,0.15,,01h06m37.20s,16.654982,+10d11m22.9s,10.189687,321.63,12.703,5716.0,1.01,0.95,,1.679,2018,,,129.075794,-52.500836,19.244121,2.8718150000000002
981,K2-222,K2-222 b,Transit,1,15.387063,0.1211,,,,0.213,,01h05m50.95s,16.46228,+11d45m12.3s,11.753423,101.59,9.543,6058.0,1.0,1.09,,2.39,2018,,,128.537404,-50.961387,19.667601,4.389198
982,K2-223,K2-223 b,Transit,2,0.50565,0.0127,,,,0.079,,12h21m13.48s,185.306152,-10d16m55.3s,-10.282036999999999,201.1,11.431,5835.0,1.06,0.99,,0.89,2018,,,290.8380850000001,51.878844,188.960717,-7.3292
983,K2-223,K2-223 c,Transit,2,4.563269999999998,0.0549,,,,0.14,,12h21m13.48s,185.306152,-10d16m55.3s,-10.282036999999999,201.1,11.431,5835.0,1.06,0.99,,1.57,2018,,,290.8380850000001,51.878844,188.960717,-7.3292
984,K2-224,K2-224 b,Transit,2,4.47904,0.0516,,,,0.139,,12h38m48.98s,189.70408600000002,-10d03m38.4s,-10.060654,277.7,12.682,5620.0,0.91,0.84,,1.56,2018,,,297.802404,52.685347,192.870731,-5.408574
985,K2-224,K2-224 c,Transit,2,10.09489,0.0886,,,,0.215,,12h38m48.98s,189.70408600000002,-10d03m38.4s,-10.060654,277.7,12.682,5620.0,0.91,0.84,,2.41,2018,,,297.802404,52.685347,192.870731,-5.408574
986,K2-225,K2-225 b,Transit,1,15.87209,0.134,,,,0.311,,12h26m09.91s,186.54129,-09d37m29.3s,-9.624804,360.3,11.835999999999999,5742.0,1.27,1.7,,3.49,2018,,,292.608142,52.73961800000001,189.82068600000002,-6.241669
987,K2-226,K2-226 b,Transit,1,3.27108,0.0413,,,,0.13699999999999998,,12h14m34.98s,183.64575200000002,-09d33m45.5s,-9.562642,211.2,12.308,5424.0,0.88,0.91,,1.54,2018,,,287.990815,52.23670900000001,187.159244,-7.323724
988,K2-227,K2-227 b,Transit,1,13.621832,,,88.374,,0.149,,12h43m47.63s,190.94847099999998,-08d28m41.7s,-8.478236,188.22,12.015,5673.0,0.95,0.89,,1.666,2018,,,299.688132,54.34536600000001,193.380678,-3.471103
989,K2-228,K2-228 b,Transit,1,2.69828,0.0338,,,,0.10800000000000001,,12h29m10.75s,187.29478500000002,-06d50m03.3s,-6.834258,142.4,12.995,4715.0,0.71,0.65,,1.21,2018,,,293.116565,55.61272099999999,189.397806,-3.384115
990,K2-229,K2-229 b,Transit,2,0.58426,0.0131,,,,0.102,,12h27m29.58s,186.87326000000002,-06d43m18.7s,-6.721861,103.8,10.985,5315.0,0.87,0.79,,1.14,2018,,,292.3528120000001,55.65728000000001,188.96813600000002,-3.4464019999999995
991,K2-229,K2-229 c,Transit,2,8.32727,0.0769,,,,0.18100000000000002,,12h27m29.58s,186.87326000000002,-06d43m18.7s,-6.721861,103.8,10.985,5315.0,0.87,0.79,,2.03,2018,,,292.3528120000001,55.65728000000001,188.96813600000002,-3.4464019999999995
992,K2-230,K2-230 b,Transit,1,2.86041,0.0409,,,,0.175,,12h45m27.17s,191.363205,-06d34m34.0s,-6.576109,548.9,12.707,5945.0,1.11,1.39,,1.96,2018,,,300.254711,56.264529,193.015705,-1.55951
993,K2-231,K2-231 b,Transit,1,13.841901000000002,,,88.6,,0.223,,19h16m22.04s,289.091827,-15d46m16.0s,-15.771107999999998,295.0,12.708,5695.0,1.01,0.95,,2.5,2018,,,21.453731,-12.527781,288.46811099999996,6.452531
994,K2-232,K2-232 b,Transit,1,11.168454,0.10355999999999999,0.258,89.14,0.398,1.0,,04h55m03.96s,73.76651,+18d39m16.3s,18.654535,131.21,9.899,6154.0,1.19,1.16,126.49633999999999,11.209000000000001,2018,,,182.070992,-15.316476000000002,74.60408100000001,-3.921329
995,K2-233,K2-233 b,Transit,3,2.46746,0.03317,0.0,88.79,,0.125,,15h21m55.20s,230.47997999999998,-20d13m54.1s,-20.231684,67.64,10.725999999999999,4950.0,0.8,0.74,,1.3980000000000001,2018,5.3,K3,344.464109,30.248726,233.32008900000002,-1.682825
996,K2-233,K2-233 c,Transit,3,7.06142,0.06687,0.0,88.95,,0.11900000000000001,,15h21m55.20s,230.47997999999998,-20d13m54.1s,-20.231684,67.64,10.725999999999999,4950.0,0.8,0.74,,1.335,2018,5.3,K3,344.464109,30.248726,233.32008900000002,-1.682825
