                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      20                  2.2339226437279831E+000                  2.6921328527243733E+000                  3.4703068635319876E+000                 -8.8252438658865575E+000                  2.4305144553591278E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      21                  2.2339226110881554E+000                  2.6921328153945594E+000                  3.4703072026518629E+000                 -8.8252415299243374E+000                  2.4305171673397585E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      22                  2.2339225450212461E+000                  2.6921327398349324E+000                  3.4703076566122641E+000                 -8.8252384029081519E+000                  2.4305207977097765E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      23                  2.2339224789543364E+000                  2.6921326642758081E+000                  3.4703084305178700E+000                 -8.8252330720393388E+000                  2.4305269866882626E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      24                  2.2339223197598934E+000                  2.6921324822110573E+000                  3.4703098562839942E+000                 -8.8252232510296000E+000                  2.4305383885889036E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      25                  2.2339220639495885E+000                  2.6921321896564794E+000                  3.4703120943885013E+000                 -8.8252078345847416E+000                  2.4305562866350301E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      26                  2.2339216682890770E+000                  2.6921317371786828E+000                  3.4703156174555714E+000                 -8.8251835674640216E+000                  2.4305844600906799E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      27                  2.2339210384139330E+000                  2.6921310168901091E+000                  3.4703214802021711E+000                 -8.8251431855222187E+000                  2.4306313425019566E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      28                  2.2339199615962819E+000                  2.6921297856102768E+000                  3.4703303229654221E+000                 -8.8250822795094912E+000                  2.4307020529720176E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      29                  2.2339184639712930E+000                  2.6921280733838810E+000                  3.4703460065225360E+000                 -8.8249742652624459E+000                  2.4308274559379730E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
